Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,17,1,0,43,44
1,15,4,44,50,7
1,17,1,51,383,333
1,20,4,384,395,12
1,27,1,396,398,3
1,2,0,399,1071,673
1,14,4,1072,1088,17
1,17,1,1089,1089,1
1,12,2,1090,1138,49
1,10,3,1139,1141,3
1,22,2,1142,1260,119
1,17,1,1261,1292,32
1,15,4,1293,1295,3
1,8,3,1296,1326,31
1,17,1,1327,1396,70
1,21,4,1397,1400,4
1,12,2,1401,1439,39
2,2,0,0,1439,1440
3,10,3,0,1,2
3,17,1,2,89,88
3,21,4,90,111,22
3,11,1,112,535,424
3,20,4,536,567,32
3,3,3,568,575,8
3,21,4,576,584,9
3,2,0,585,1288,704
3,15,4,1289,1294,6
3,22,2,1295,1296,2
3,17,1,1297,1362,66
3,22,2,1363,1439,77
4,17,1,0,5,6
4,21,4,6,8,3
4,11,1,9,434,426
4,1,0,435,437,3
4,11,1,438,462,25
4,15,4,463,507,45
4,3,3,508,514,7
4,21,4,515,518,4
4,27,1,519,533,15
4,2,0,534,1026,493
4,25,2,1027,1042,16
4,15,4,1043,1068,26
4,27,1,1069,1079,11
4,2,0,1080,1439,360
5,2,0,0,556,557
5,25,2,557,567,11
5,27,1,568,569,2
5,3,3,570,594,25
5,21,4,595,611,17
5,22,2,612,629,18
5,2,0,630,1229,600
5,27,1,1230,1231,2
5,12,2,1232,1247,16
5,15,4,1248,1250,3
5,12,2,1251,1297,47
5,17,1,1298,1328,31
5,1,0,1329,1332,4
5,17,1,1333,1338,6
5,13,2,1339,1434,96
5,21,4,1435,1439,5
6,12,2,0,5,6
6,1,0,6,8,3
6,12,2,9,33,25
6,15,4,34,37,4
6,18,2,38,53,16
6,27,1,54,64,11
6,2,0,65,120,56
6,27,1,121,546,426
6,21,4,547,559,13
6,27,1,560,564,5
6,15,4,565,584,20
6,2,0,585,1050,466
6,27,1,1051,1054,4
6,25,2,1055,1149,95
6,16,1,1150,1216,67
6,7,3,1217,1292,76
6,12,2,1293,1371,79
6,10,3,1372,1376,5
6,12,2,1377,1418,42
6,17,1,1419,1426,8
6,12,2,1427,1439,13
7,2,0,0,44,45
7,27,1,45,48,4
7,15,4,49,77,29
7,17,1,78,89,12
7,7,3,90,121,32
7,27,1,122,122,1
7,2,0,123,218,96
7,27,1,219,220,2
7,1,0,221,224,4
7,21,4,225,229,5
7,1,0,230,230,1
7,12,2,231,243,13
7,11,1,244,283,40
7,15,4,284,285,2
7,11,1,286,607,322
7,15,4,608,629,22
7,16,1,630,659,30
7,2,0,660,668,9
7,18,2,669,726,58
7,17,1,727,781,55
7,22,2,782,856,75
7,27,1,857,863,7
7,19,3,864,871,8
7,2,0,872,994,123
7,27,1,995,996,2
7,12,2,997,1132,136
7,17,1,1133,1139,7
7,15,4,1140,1141,2
7,27,1,1142,1145,4
7,1,0,1146,1150,5
7,17,1,1151,1162,12
7,2,0,1163,1439,277
8,12,2,0,17,18
8,10,3,18,21,4
8,12,2,22,30,9
8,1,0,31,32,2
8,12,2,33,50,18
8,16,1,51,121,71
8,21,4,122,124,3
8,1,0,125,127,3
8,12,2,128,155,28
8,11,1,156,511,356
8,15,4,512,530,19
8,1,0,531,534,4
8,27,1,535,544,10
8,2,0,545,1040,496
8,22,2,1041,1047,7
8,27,1,1048,1053,6
8,12,2,1054,1060,7
8,1,0,1061,1064,4
8,12,2,1065,1074,10
8,1,0,1075,1079,5
8,12,2,1080,1171,92
8,1,0,1172,1172,1
8,19,3,1173,1180,8
8,15,4,1181,1183,3
8,12,2,1184,1186,3
8,9,3,1187,1281,95
8,17,1,1282,1294,13
8,13,2,1295,1439,145
9,22,2,0,41,42
9,16,1,42,112,71
9,15,4,113,121,9
9,16,1,122,132,11
9,7,3,133,161,29
9,21,4,162,180,19
9,10,3,181,185,5
9,11,1,186,495,310
9,15,4,496,513,18
9,1,0,514,515,2
9,27,1,516,520,5
9,2,0,521,807,287
9,22,2,808,818,11
9,27,1,819,819,1
9,18,2,820,835,16
9,17,1,836,879,44
9,22,2,880,925,46
9,17,1,926,927,2
9,22,2,928,965,38
9,17,1,966,1007,42
9,12,2,1008,1032,25
9,16,1,1033,1094,62
9,1,0,1095,1103,9
9,12,2,1104,1192,89
9,7,3,1193,1261,69
9,12,2,1262,1269,8
9,9,3,1270,1273,4
9,12,2,1274,1312,39
9,15,4,1313,1314,2
9,1,0,1315,1317,3
9,12,2,1318,1339,22
9,17,1,1340,1382,43
9,12,2,1383,1383,1
9,17,1,1384,1399,16
9,14,4,1400,1421,22
9,10,3,1422,1429,8
9,18,2,1430,1439,10
10,2,0,0,26,27
10,22,2,27,40,14
10,27,1,41,43,3
10,12,2,44,85,42
10,15,4,86,95,10
10,1,0,96,96,1
10,17,1,97,109,13
10,10,3,110,141,32
10,1,0,142,142,1
10,10,3,143,145,3
10,21,4,146,150,5
10,1,0,151,153,3
10,11,1,154,384,231
10,15,4,385,388,4
10,11,1,389,498,110
10,15,4,499,514,16
10,1,0,515,515,1
10,27,1,516,521,6
10,2,0,522,1090,569
10,22,2,1091,1093,3
10,27,1,1094,1095,2
10,18,2,1096,1162,67
10,17,1,1163,1194,32
10,2,0,1195,1439,245
11,22,2,0,21,22
11,15,4,22,53,32
11,25,2,54,59,6
11,11,1,60,418,359
11,15,4,419,430,12
11,4,3,431,432,2
11,21,4,433,436,4
11,27,1,437,440,4
11,1,0,441,1143,703
11,27,1,1144,1146,3
11,1,0,1147,1149,3
11,12,2,1150,1219,70
11,7,3,1220,1276,57
11,18,2,1277,1293,17
11,9,3,1294,1294,1
11,22,2,1295,1360,66
11,10,3,1361,1365,5
11,12,2,1366,1393,28
11,17,1,1394,1402,9
11,18,2,1403,1427,25
11,10,3,1428,1432,5
11,12,2,1433,1439,7
12,11,1,0,485,486
12,15,4,486,503,18
12,27,1,504,514,11
12,1,0,515,1120,606
12,27,1,1121,1124,4
12,22,2,1125,1170,46
12,7,3,1171,1195,25
12,2,0,1196,1201,6
12,12,2,1202,1232,31
12,8,3,1233,1257,25
12,12,2,1258,1313,56
12,10,3,1314,1325,12
12,17,1,1326,1373,48
12,10,3,1374,1377,4
12,15,4,1378,1394,17
12,12,2,1395,1424,30
12,10,3,1425,1439,15
13,17,1,0,59,60
13,10,3,60,79,20
13,21,4,80,92,13
13,12,2,93,105,13
13,11,1,106,472,367
13,15,4,473,494,22
13,1,0,495,513,19
13,20,4,514,524,11
13,27,1,525,534,10
13,2,0,535,1323,789
13,27,1,1324,1328,5
13,22,2,1329,1379,51
13,17,1,1380,1418,39
13,22,2,1419,1431,13
13,17,1,1432,1439,8
14,2,0,0,8,9
14,25,2,9,17,9
14,27,1,18,21,4
14,12,2,22,50,29
14,10,3,51,60,10
14,16,1,61,84,24
14,14,4,85,114,30
14,10,3,115,147,33
14,21,4,148,165,18
14,12,2,166,166,1
14,15,4,167,169,3
14,11,1,170,497,328
14,15,4,498,530,33
14,27,1,531,541,11
14,2,0,542,1439,898
15,16,1,0,85,86
15,12,2,86,103,18
15,11,1,104,429,326
15,15,4,430,432,3
15,16,1,433,503,71
15,15,4,504,529,26
15,1,0,530,535,6
15,27,1,536,543,8
15,2,0,544,862,319
15,27,1,863,895,33
15,15,4,896,918,23
15,12,2,919,926,8
15,1,0,927,930,4
15,12,2,931,947,17
15,2,0,948,1410,463
15,12,2,1411,1431,21
15,16,1,1432,1439,8
16,17,1,0,51,52
16,14,4,52,73,22
16,10,3,74,76,3
16,16,1,77,118,42
16,10,3,119,160,42
16,15,4,161,169,9
16,12,2,170,202,33
16,11,1,203,375,173
16,15,4,376,378,3
16,11,1,379,586,208
16,2,0,587,592,6
16,15,4,593,616,24
16,18,2,617,671,55
16,16,1,672,711,40
16,12,2,712,842,131
16,15,4,843,844,2
16,12,2,845,990,146
16,17,1,991,998,8
16,12,2,999,1011,13
16,27,1,1012,1014,3
16,2,0,1015,1056,42
16,12,2,1057,1109,53
16,2,0,1110,1342,233
16,27,1,1343,1343,1
16,12,2,1344,1439,96
17,17,1,0,94,95
17,10,3,95,129,35
17,21,4,130,133,4
17,1,0,134,139,6
17,12,2,140,155,16
17,15,4,156,158,3
17,11,1,159,493,335
17,15,4,494,524,31
17,27,1,525,531,7
17,2,0,532,1387,856
17,12,2,1388,1411,24
17,27,1,1412,1418,7
17,14,4,1419,1432,14
17,17,1,1433,1439,7
18,12,2,0,44,45
18,10,3,45,81,37
18,14,4,82,93,12
18,1,0,94,98,5
18,12,2,99,102,4
18,10,3,103,138,36
18,12,2,139,156,18
18,21,4,157,178,22
18,11,1,179,303,125
18,15,4,304,306,3
18,11,1,307,496,190
18,15,4,497,521,25
18,27,1,522,532,11
18,2,0,533,1385,853
18,12,2,1386,1389,4
18,27,1,1390,1392,3
18,15,4,1393,1395,3
18,12,2,1396,1439,44
19,2,0,0,36,37
19,27,1,37,39,3
19,12,2,40,48,9
19,9,3,49,52,4
