Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,11,1,0,619,620
1,15,4,620,628,9
1,18,2,629,671,43
1,4,3,672,688,17
1,18,2,689,699,11
1,15,4,700,710,11
1,18,2,711,900,190
1,15,4,901,915,15
1,13,2,916,997,82
1,6,3,998,1012,15
1,1,0,1013,1017,5
1,13,2,1018,1057,40
1,16,1,1058,1145,88
1,15,4,1146,1146,1
1,10,3,1147,1149,3
1,18,2,1150,1353,204
1,15,4,1354,1355,2
1,12,2,1356,1439,84
2,12,2,0,60,61
2,15,4,61,61,1
2,11,1,62,406,345
2,15,4,407,410,4
2,17,1,411,460,50
2,20,4,461,473,13
2,1,0,474,577,104
2,14,4,578,589,12
2,27,1,590,592,3
2,1,0,593,595,3
2,17,1,596,604,9
2,4,3,605,615,11
2,1,0,616,1231,616
2,27,1,1232,1234,3
2,1,0,1235,1235,1
2,18,2,1236,1365,130
2,11,1,1366,1439,74
3,11,1,0,407,408
3,15,4,408,409,2
3,17,1,410,474,65
3,1,0,475,503,29
3,4,3,504,513,10
3,1,0,514,525,12
3,15,4,526,526,1
3,27,1,527,533,7
3,2,0,534,1420,887
3,27,1,1421,1422,2
3,1,0,1423,1427,5
3,15,4,1428,1439,12
4,17,1,0,407,408
4,15,4,408,409,2
4,17,1,410,536,127
4,4,3,537,545,9
4,1,0,546,551,6
4,25,2,552,571,20
4,1,0,572,573,2
4,20,4,574,580,7
4,27,1,581,586,6
4,2,0,587,1304,718
4,27,1,1305,1308,4
4,15,4,1309,1309,1
4,1,0,1310,1312,3
4,25,2,1313,1328,16
4,8,3,1329,1334,6
4,12,2,1335,1416,82
4,11,1,1417,1439,23
5,11,1,0,406,407
5,1,0,407,407,1
5,17,1,408,536,129
5,15,4,537,538,2
5,27,1,539,541,3
5,1,0,542,1335,794
5,27,1,1336,1337,2
5,15,4,1338,1339,2
5,1,0,1340,1341,2
5,25,2,1342,1439,98
6,12,2,0,34,35
6,11,1,35,35,1
6,15,4,36,37,2
6,11,1,38,201,164
6,15,4,202,204,3
6,11,1,205,436,232
6,15,4,437,438,2
6,17,1,439,499,61
6,4,3,500,509,10
6,1,0,510,515,6
6,21,4,516,519,4
6,27,1,520,524,5
6,1,0,525,1439,915
7,2,0,0,37,38
7,27,1,38,39,2
7,15,4,40,41,2
7,12,2,42,96,55
7,11,1,97,649,553
7,15,4,650,652,3
7,4,3,653,670,18
7,12,2,671,754,84
7,15,4,755,755,1
7,27,1,756,759,4
7,1,0,760,761,2
7,18,2,762,801,40
7,15,4,802,805,4
7,2,0,806,1439,634
8,2,0,0,1366,1367
8,27,1,1367,1367,1
8,15,4,1368,1369,2
8,12,2,1370,1439,70
9,12,2,0,26,27
9,15,4,27,27,1
9,11,1,28,247,220
9,15,4,248,250,3
9,11,1,251,546,296
9,1,0,547,551,5
9,13,2,552,560,9
9,4,3,561,568,8
9,1,0,569,570,2
9,25,2,571,586,16
9,1,0,587,616,30
9,14,4,617,635,19
9,27,1,636,639,4
9,1,0,640,1361,722
9,27,1,1362,1363,2
9,25,2,1364,1439,76
10,12,2,0,40,41
10,11,1,41,456,416
10,15,4,457,458,2
10,18,2,459,584,126
10,15,4,585,589,5
10,17,1,590,608,19
10,4,3,609,614,6
10,25,2,615,639,25
10,27,1,640,642,3
10,21,4,643,646,4
10,1,0,647,1340,694
10,27,1,1341,1342,2
10,1,0,1343,1343,1
10,15,4,1344,1344,1
10,1,0,1345,1356,12
10,8,3,1357,1365,9
10,1,0,1366,1379,14
10,25,2,1380,1439,60
11,12,2,0,48,49
11,11,1,49,520,472
11,1,0,521,525,5
11,17,1,526,619,94
11,15,4,620,640,21
11,18,2,641,692,52
11,4,3,693,711,19
11,12,2,712,772,61
11,1,0,773,826,54
11,27,1,827,828,2
11,18,2,829,845,17
11,1,0,846,1439,594
12,2,0,0,198,199
12,27,1,199,200,2
12,1,0,201,203,3
12,11,1,204,696,493
12,15,4,697,709,13
12,4,3,710,721,12
12,17,1,722,752,31
12,21,4,753,756,4
12,17,1,757,798,42
12,1,0,799,800,2
12,15,4,801,803,3
12,27,1,804,806,3
12,1,0,807,1439,633
13,2,0,0,86,87
13,27,1,87,119,33
13,12,2,120,139,20
