Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,12,2,0,56,57
1,21,4,57,64,8
1,17,1,65,545,481
1,1,0,546,551,6
1,12,2,552,576,25
1,3,3,577,620,44
1,15,4,621,622,2
1,17,1,623,662,40
1,21,4,663,666,4
1,13,2,667,786,120
1,1,0,787,794,8
1,19,3,795,805,11
1,17,1,806,811,6
1,15,4,812,823,12
1,27,1,824,832,9
1,2,0,833,1231,399
1,7,3,1232,1271,40
1,22,2,1272,1276,5
1,7,3,1277,1327,51
1,17,1,1328,1385,58
1,22,2,1386,1432,47
1,21,4,1433,1436,4
1,12,2,1437,1439,3
2,17,1,0,0,1
2,10,3,1,6,6
2,17,1,7,19,13
2,10,3,20,23,4
2,12,2,24,152,129
2,21,4,153,155,3
2,1,0,156,160,5
2,11,1,161,596,436
2,12,2,597,618,22
2,15,4,619,620,2
2,3,3,621,625,5
2,17,1,626,643,18
2,3,3,644,680,37
2,13,2,681,726,46
2,21,4,727,747,21
2,22,2,748,750,3
2,14,4,751,762,12
2,1,0,763,778,16
2,13,2,779,795,17
2,1,0,796,843,48
2,12,2,844,854,11
2,5,3,855,917,63
2,17,1,918,979,62
2,15,4,980,1004,25
2,17,1,1005,1033,29
2,2,0,1034,1294,261
2,27,1,1295,1297,3
2,12,2,1298,1316,19
2,17,1,1317,1346,30
2,22,2,1347,1369,23
2,15,4,1370,1373,4
2,17,1,1374,1439,66
3,10,3,0,18,19
3,12,2,19,90,72
3,17,1,91,125,35
3,21,4,126,134,9
3,11,1,135,589,455
3,1,0,590,595,6
3,15,4,596,598,3
3,1,0,599,602,4
3,12,2,603,637,35
3,3,3,638,723,86
3,12,2,724,732,9
3,17,1,733,733,1
3,22,2,734,745,12
3,17,1,746,805,60
3,21,4,806,810,5
3,12,2,811,893,83
3,17,1,894,937,44
3,10,3,938,946,9
3,15,4,947,996,50
3,1,0,997,1021,25
3,5,3,1022,1073,52
3,17,1,1074,1075,2
3,22,2,1076,1118,43
3,17,1,1119,1176,58
3,18,2,1177,1213,37
3,27,1,1214,1222,9
3,2,0,1223,1281,59
3,12,2,1282,1289,8
3,27,1,1290,1291,2
3,12,2,1292,1335,44
3,10,3,1336,1346,11
3,15,4,1347,1350,4
3,13,2,1351,1366,16
3,17,1,1367,1374,8
3,22,2,1375,1398,24
3,10,3,1399,1406,8
3,12,2,1407,1439,33
4,12,2,0,6,7
4,17,1,7,12,6
4,22,2,13,23,11
4,17,1,24,63,40
4,21,4,64,72,9
4,11,1,73,661,589
4,15,4,662,665,4
4,1,0,666,668,3
4,17,1,669,704,36
4,3,3,705,732,28
4,22,2,733,740,8
4,15,4,741,760,20
4,1,0,761,762,2
4,21,4,763,767,5
4,1,0,768,786,19
4,12,2,787,940,154
4,5,3,941,956,16
4,12,2,957,976,20
4,5,3,977,1000,24
4,15,4,1001,1002,2
4,13,2,1003,1123,121
4,10,3,1124,1127,4
4,12,2,1128,1249,122
4,7,3,1250,1284,35
4,12,2,1285,1330,46
4,10,3,1331,1331,1
4,15,4,1332,1335,4
4,13,2,1336,1351,16
4,17,1,1352,1383,32
4,13,2,1384,1439,56
5,22,2,0,80,81
5,17,1,81,104,24
5,21,4,105,108,4
5,11,1,109,556,448
5,25,2,557,575,19
5,15,4,576,578,3
5,4,3,579,600,22
5,1,0,601,604,4
5,17,1,605,636,32
5,22,2,637,647,11
5,17,1,648,683,36
5,21,4,684,687,4
5,13,2,688,849,162
5,10,3,850,857,8
5,12,2,858,871,14
5,5,3,872,925,54
5,17,1,926,989,64
5,15,4,990,1049,60
5,1,0,1050,1054,5
