Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,11,1,0,300,301
1,15,4,301,302,2
1,11,1,303,322,20
1,1,0,323,323,1
1,11,1,324,647,324
1,1,0,648,652,5
1,15,4,653,656,4
1,3,3,657,690,34
1,1,0,691,710,20
1,15,4,711,712,2
1,13,2,713,839,127
1,15,4,840,840,1
1,13,2,841,917,77
1,5,3,918,1009,92
1,1,0,1010,1016,7
1,9,3,1017,1029,13
1,13,2,1030,1135,106
1,15,4,1136,1136,1
1,13,2,1137,1165,29
1,10,3,1166,1166,1
1,13,2,1167,1207,41
1,15,4,1208,1208,1
1,13,2,1209,1349,141
1,10,3,1350,1353,4
1,12,2,1354,1439,86
2,12,2,0,61,62
2,1,0,62,62,1
2,15,4,63,63,1
2,11,1,64,540,477
2,15,4,541,542,2
2,1,0,543,568,26
2,14,4,569,577,9
2,27,1,578,585,8
2,1,0,586,597,12
2,3,3,598,616,19
2,1,0,617,624,8
2,15,4,625,627,3
2,1,0,628,1230,603
2,15,4,1231,1231,1
2,27,1,1232,1233,2
2,1,0,1234,1247,14
2,13,2,1248,1365,118
2,11,1,1366,1439,74
3,11,1,0,485,486
3,15,4,486,487,2
3,3,3,488,514,27
3,1,0,515,522,8
3,15,4,523,524,2
3,27,1,525,527,3
3,1,0,528,529,2
3,21,4,530,531,2
3,1,0,532,1419,888
3,15,4,1420,1421,2
3,27,1,1422,1423,2
3,1,0,1424,1428,5
3,13,2,1429,1439,11
4,13,2,0,25,26
4,10,3,26,28,3
4,13,2,29,83,55
4,11,1,84,524,441
4,15,4,525,527,3
4,27,1,528,531,4
4,3,3,532,544,13
4,1,0,545,551,7
4,25,2,552,571,20
4,21,4,572,572,1
4,1,0,573,577,5
4,9,3,578,578,1
4,1,0,579,580,2
4,15,4,581,583,3
4,1,0,584,1304,721
4,27,1,1305,1308,4
4,1,0,1309,1312,4
4,25,2,1313,1320,8
4,7,3,1321,1325,5
4,12,2,1326,1414,89
4,15,4,1415,1416,2
4,11,1,1417,1439,23
5,11,1,0,514,515
5,15,4,515,526,12
5,27,1,527,531,5
5,1,0,532,1335,804
5,15,4,1336,1337,2
5,27,1,1338,1339,2
5,1,0,1340,1341,2
5,25,2,1342,1439,98
6,12,2,0,35,36
6,11,1,36,491,456
6,15,4,492,493,2
6,3,3,494,507,14
6,18,2,508,515,8
6,9,3,516,517,2
6,27,1,518,520,3
6,15,4,521,524,4
6,1,0,525,1439,915
7,2,0,0,32,33
7,15,4,33,34,2
7,27,1,35,36,2
7,1,0,37,40,4
7,12,2,41,46,6
7,7,3,47,48,2
7,12,2,49,96,48
7,11,1,97,579,483
7,15,4,580,581,2
7,1,0,582,596,15
7,13,2,597,643,47
7,3,3,644,670,27
7,12,2,671,720,50
7,1,0,721,721,1
7,14,4,722,730,9
7,27,1,731,734,4
7,1,0,735,740,6
7,21,4,741,744,4
7,1,0,745,761,17
7,13,2,762,802,41
7,1,0,803,1439,637
8,2,0,0,921,922
8,15,4,922,925,4
8,27,1,926,927,2
8,13,2,928,961,34
8,10,3,962,966,5
8,13,2,967,976,10
8,1,0,977,984,8
8,13,2,985,997,13
8,15,4,998,999,2
8,1,0,1000,1007,8
8,14,4,1008,1020,13
8,27,1,1021,1024,4
8,1,0,1025,1040,16
8,13,2,1041,1133,93
8,10,3,1134,1137,4
8,1,0,1138,1143,6
8,15,4,1144,1144,1
8,12,2,1145,1336,192
8,1,0,1337,1342,6
8,12,2,1343,1365,23
8,1,0,1366,1367,2
8,12,2,1368,1439,72
9,12,2,0,24,25
9,15,4,25,26,2
9,11,1,27,526,500
9,15,4,527,528,2
9,3,3,529,551,23
9,15,4,552,553,2
9,4,3,554,563,10
9,1,0,564,568,5
9,9,3,569,570,2
9,25,2,571,586,16
9,1,0,587,621,35
9,27,1,622,626,5
9,1,0,627,637,11
9,21,4,638,639,2
9,1,0,640,1360,721
9,27,1,1361,1362,2
9,1,0,1363,1363,1
9,25,2,1364,1439,76
10,12,2,0,39,40
10,15,4,40,41,2
10,11,1,42,580,539
10,15,4,581,582,2
10,1,0,583,593,11
10,15,4,594,596,3
10,3,3,597,614,18
10,25,2,615,639,25
10,27,1,640,642,3
10,21,4,643,643,1
10,1,0,644,1340,697
10,15,4,1341,1343,3
10,27,1,1344,1344,1
10,7,3,1345,1366,22
10,1,0,1367,1373,7
10,12,2,1374,1439,66
11,12,2,0,47,48
11,11,1,48,641,594
11,15,4,642,644,3
11,1,0,645,662,18
11,25,2,663,667,5
11,15,4,668,669,2
11,1,0,670,678,9
11,3,3,679,711,33
11,12,2,712,772,61
11,1,0,773,823,51
11,27,1,824,825,2
11,1,0,826,832,7
11,9,3,833,834,2
11,1,0,835,841,7
11,21,4,842,844,3
11,1,0,845,1439,595
12,2,0,0,198,199
12,27,1,199,200,2
12,1,0,201,203,3
12,11,1,204,688,485
12,15,4,689,691,3
12,1,0,692,696,5
12,3,3,697,699,3
12,17,1,700,709,10
12,4,3,710,719,10
12,18,2,720,748,29
12,15,4,749,750,2
12,13,2,751,786,36
12,14,4,787,798,12
12,27,1,799,801,3
12,1,0,802,807,6
12,9,3,808,809,2
12,21,4,810,815,6
12,1,0,816,1439,624
13,2,0,0,85,86
13,27,1,86,86,1
13,1,0,87,88,2
13,13,2,89,139,51
13,15,4,140,140,1
13,11,1,141,556,416
13,15,4,557,560,4
13,27,1,561,566,6
13,1,0,567,575,9
13,18,2,576,594,19
13,21,4,595,597,3
13,1,0,598,1388,791
13,15,4,1389,1389,1
13,27,1,1390,1392,3
13,25,2,1393,1439,47
14,12,2,0,38,39
14,15,4,39,39,1
14,11,1,40,502,463
14,15,4,503,506,4
14,27,1,507,510,4
14,1,0,511,1051,541
14,27,1,1052,1268,217
14,12,2,1269,1382,114
14,15,4,1383,1384,2
14,1,0,1385,1386,2
14,11,1,1387,1439,53
15,2,0,0,80,81
15,21,4,81,83,3
15,1,0,84,84,1
15,15,4,85,87,3
15,11,1,88,582,495
15,15,4,583,584,2
15,1,0,585,597,13
15,15,4,598,599,2
15,1,0,600,651,52
15,3,3,652,670,19
15,1,0,671,692,22
15,21,4,693,694,2
15,1,0,695,1439,745
16,11,1,0,611,612
16,15,4,612,613,2
16,27,1,614,618,5
16,3,3,619,635,17
16,18,2,636,644,9
16,15,4,645,646,2
16,13,2,647,692,46
16,10,3,693,694,2
16,13,2,695,786,92
16,15,4,787,787,1
16,13,2,788,874,87
16,10,3,875,878,4
16,13,2,879,902,24
16,15,4,903,903,1
16,5,3,904,954,51
16,1,0,955,964,10
16,9,3,965,978,14
16,13,2,979,1062,84
16,1,0,1063,1076,14
16,15,4,1077,1079,3
16,13,2,1080,1118,39
16,1,0,1119,1149,31
16,15,4,1150,1151,2
16,13,2,1152,1177,26
16,7,3,1178,1183,6
16,12,2,1184,1362,179
16,1,0,1363,1371,9
16,15,4,1372,1373,2
16,12,2,1374,1439,66
17,12,2,0,2,3
17,21,4,3,6,4
17,1,0,7,7,1
17,11,1,8,594,587
17,15,4,595,596,2
17,3,3,597,627,31
17,1,0,628,634,7
17,25,2,635,652,18
17,15,4,653,654,2
17,25,2,655,790,136
17,15,4,791,791,1
17,13,2,792,824,33
17,10,3,825,826,2
17,13,2,827,914,88
17,5,3,915,937,23
17,1,0,938,944,7
17,12,2,945,1067,123
17,15,4,1068,1069,2
17,1,0,1070,1070,1
17,12,2,1071,1391,321
17,1,0,1392,1403,12
17,15,4,1404,1406,3
17,1,0,1407,1410,4
17,12,2,1411,1439,29
18,11,1,0,553,554
18,15,4,554,555,2
18,3,3,556,582,27
18,15,4,583,586,4
18,18,2,587,618,32
18,27,1,619,622,4
18,21,4,623,624,2
18,1,0,625,1253,629
18,27,1,1254,1254,1
18,12,2,1255,1348,94
18,10,3,1349,1350,2
18,13,2,1351,1391,41
18,15,4,1392,1393,2
18,13,2,1394,1432,39
18,21,4,1433,1435,3
18,11,1,1436,1439,4
19,11,1,0,539,540
19,15,4,540,541,2
19,3,3,542,569,28
19,18,2,570,583,14
19,15,4,584,585,2
19,13,2,586,631,46
19,14,4,632,638,7
19,27,1,639,642,4
19,1,0,643,657,15
19,21,4,658,661,4
19,1,0,662,1151,490
19,27,1,1152,1152,1
19,1,0,1153,1154,2
19,7,3,1155,1174,20
19,12,2,1175,1357,183
19,15,4,1358,1358,1
19,12,2,1359,1439,81
20,12,2,0,2,3
20,15,4,3,3,1
20,1,0,4,4,1
20,11,1,5,563,559
20,15,4,564,566,3
20,3,3,567,580,14
20,18,2,581,590,10
20,15,4,591,593,3
20,27,1,594,596,3
20,1,0,597,608,12
20,21,4,609,610,2
20,1,0,611,1321,711
20,27,1,1322,1322,1
20,1,0,1323,1329,7
20,15,4,1330,1331,2
20,12,2,1332,1439,108
21,12,2,0,57,58
21,15,4,58,59,2
21,12,2,60,61,2
21,11,1,62,532,471
21,15,4,533,535,3
21,3,3,536,555,20
21,18,2,556,565,10
21,1,0,566,568,3
21,13,2,569,635,67
21,15,4,636,637,2
21,13,2,638,832,195
21,5,3,833,842,10
21,15,4,843,844,2
21,27,1,845,846,2
21,1,0,847,876,30
21,13,2,877,1048,172
21,15,4,1049,1050,2
21,1,0,1051,1058,8
21,12,2,1059,1130,72
21,7,3,1131,1154,24
21,12,2,1155,1276,122
21,15,4,1277,1277,1
21,12,2,1278,1372,95
21,11,1,1373,1439,67
22,11,1,0,227,228
22,15,4,228,229,2
22,11,1,230,504,275
22,15,4,505,506,2
22,3,3,507,529,23
22,17,1,530,537,8
22,15,4,538,539,2
22,1,0,540,542,3
22,13,2,543,689,147
22,15,4,690,690,1
22,13,2,691,809,119
22,5,3,810,831,22
22,1,0,832,836,5
22,21,4,837,837,1
22,13,2,838,954,117
22,10,3,955,957,3
22,12,2,958,994,37
22,1,0,995,997,3
22,13,2,998,1112,115
22,15,4,1113,1113,1
22,13,2,1114,1156,43
22,19,3,1157,1176,20
22,12,2,1177,1250,74
22,10,3,1251,1257,7
22,12,2,1258,1286,29
22,1,0,1287,1287,1
22,14,4,1288,1296,9
22,27,1,1297,1302,6
22,1,0,1303,1308,6
22,19,3,1309,1312,4
22,1,0,1313,1318,6
22,13,2,1319,1439,121
23,13,2,0,19,20
23,15,4,20,21,2
23,12,2,22,42,21
23,11,1,43,471,429
23,15,4,472,473,2
23,27,1,474,477,4
23,1,0,478,482,5
23,21,4,483,484,2
23,1,0,485,1270,786
23,15,4,1271,1272,2
23,1,0,1273,1292,20
23,14,4,1293,1294,2
23,27,1,1295,1296,2
23,10,3,1297,1300,4
23,12,2,1301,1339,39
23,21,4,1340,1341,2
23,12,2,1342,1410,69
23,11,1,1411,1439,29
24,11,1,0,478,479
24,15,4,479,480,2
24,27,1,481,482,2
24,13,2,483,500,18
24,15,4,501,502,2
24,1,0,503,503,1
24,13,2,504,518,15
24,3,3,519,536,18
24,18,2,537,668,132
24,3,3,669,671,3
24,15,4,672,672,1
24,13,2,673,782,110
24,15,4,783,783,1
24,13,2,784,833,50
24,5,3,834,868,35
24,18,2,869,874,6
24,6,3,875,886,12
24,25,2,887,927,41
24,15,4,928,928,1
24,13,2,929,1226,298
24,15,4,1227,1227,1
24,7,3,1228,1240,13
24,1,0,1241,1241,1
24,12,2,1242,1397,156
24,11,1,1398,1439,42
25,11,1,0,111,112
25,15,4,112,113,2
25,1,0,114,116,3
25,11,1,117,598,482
25,15,4,599,600,2
25,11,1,601,628,28
25,14,4,629,641,13
25,27,1,642,650,9
25,1,0,651,668,18
25,21,4,669,672,4
25,1,0,673,1434,762
25,27,1,1435,1437,3
25,25,2,1438,1439,2
26,25,2,0,5,6
26,15,4,6,9,4
26,1,0,10,10,1
26,11,1,11,512,502
26,15,4,513,514,2
26,27,1,515,518,4
26,21,4,519,521,3
26,17,1,522,524,3
26,2,0,525,1270,746
26,15,4,1271,1272,2
26,27,1,1273,1274,2
26,1,0,1275,1280,6
26,17,1,1281,1286,6
26,12,2,1287,1340,54
26,11,1,1341,1439,99
27,11,1,0,455,456
27,15,4,456,459,4
27,18,2,460,480,21
27,3,3,481,502,22
27,18,2,503,516,14
