Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,1,0,0,868,869
1,2,3,869,871,3
1,3,1,872,872,1
1,5,2,873,875,3
1,7,3,876,878,3
1,8,2,879,888,10
1,13,3,889,900,12
1,1,0,901,1439,539
2,1,0,0,515,516
2,2,3,516,518,3
2,3,1,519,519,1
2,5,2,520,521,2
2,7,3,522,526,5
2,8,2,527,533,7
2,13,3,534,1047,514
2,3,1,1048,1048,1
2,5,2,1049,1056,8
2,7,3,1057,1063,7
2,8,2,1064,1069,6
2,13,3,1070,1084,15
2,1,0,1085,1439,355
3,1,0,0,869,870
3,2,3,870,872,3
3,3,1,873,873,1
3,5,2,874,878,5
3,7,3,879,882,4
3,8,2,883,892,10
3,13,3,893,984,92
3,5,2,985,992,8
3,7,3,993,995,3
3,8,2,996,1006,11
3,13,3,1007,1023,17
3,1,0,1024,1439,416
4,1,0,0,692,693
4,2,3,693,694,2
4,3,1,695,695,1
4,5,2,696,700,5
4,7,3,701,707,7
4,8,2,708,711,4
4,13,3,712,721,10
4,1,0,722,1439,718
5,1,0,0,508,509
5,2,3,509,511,3
5,3,1,512,512,1
5,5,2,513,515,3
5,7,3,516,518,3
5,8,2,519,528,10
5,13,3,529,861,333
5,5,2,862,867,6
5,7,3,868,870,3
5,8,2,871,881,11
5,13,3,882,892,11
5,1,0,893,1439,547
6,1,0,0,518,519
6,2,3,519,520,2
6,3,1,521,522,2
6,5,2,523,529,7
6,7,3,530,531,2
6,8,2,532,1047,516
6,2,3,1048,1048,1
6,3,1,1049,1049,1
6,5,2,1050,1052,3
6,7,3,1053,1054,2
6,8,2,1055,1064,10
6,13,3,1065,1073,9
6,1,0,1074,1439,366
7,1,0,0,873,874
7,2,3,874,875,2
7,3,1,876,876,1
7,5,2,877,883,7
7,7,3,884,886,3
7,8,2,887,895,9
7,13,3,896,993,98
7,3,1,994,994,1
7,5,2,995,999,5
7,7,3,1000,1006,7
7,8,2,1007,1011,5
7,13,3,1012,1018,7
7,1,0,1019,1439,421
8,1,0,0,857,858
8,2,3,858,859,2
8,3,1,860,860,1
8,5,2,861,865,5
8,7,3,866,869,4
8,8,2,870,879,10
8,13,3,880,889,10
8,1,0,890,1439,550
9,1,0,0,505,506
9,2,3,506,507,2
9,3,1,508,508,1
9,5,2,509,514,6
9,7,3,515,516,2
9,8,2,517,525,9
9,13,3,526,684,159
9,3,1,685,685,1
9,5,2,686,691,6
9,7,3,692,693,2
9,8,2,694,702,9
9,13,3,703,714,12
9,1,0,715,1439,725
10,1,0,0,1038,1039
10,2,3,1039,1039,1
10,3,1,1040,1040,1
10,5,2,1041,1044,4
10,7,3,1045,1047,3
10,8,2,1048,1056,9
10,13,3,1057,1068,12
10,1,0,1069,1439,371
11,1,0,0,863,864
11,2,3,864,864,1
11,3,1,865,865,1
11,5,2,866,870,5
11,7,3,871,872,2
11,8,2,873,883,11
11,13,3,884,992,109
11,3,1,993,993,1
11,5,2,994,998,5
11,7,3,999,1000,2
11,8,2,1001,1011,11
11,13,3,1012,1026,15
11,1,0,1027,1439,413
12,1,0,0,865,866
12,2,3,866,866,1
12,3,1,867,867,1
12,5,2,868,870,3
12,7,3,871,872,2
12,8,2,873,882,10
12,13,3,883,891,9
12,1,0,892,1439,548
13,1,0,0,508,509
13,2,3,509,510,2
13,5,2,511,513,3
13,7,3,514,515,2
13,8,2,516,523,8
13,13,3,524,690,167
13,3,1,691,691,1
13,5,2,692,695,4
13,7,3,696,697,2
13,8,2,698,707,10
13,13,3,708,714,7
13,1,0,715,1439,725
14,1,0,0,509,510
14,2,3,510,510,1
14,3,1,511,511,1
14,5,2,512,514,3
14,7,3,515,515,1
14,8,2,516,523,8
14,13,3,524,534,11
14,1,0,535,1439,905
15,1,0,0,503,504
15,2,3,504,504,1
15,3,1,505,505,1
15,5,2,506,510,5
15,7,3,511,513,3
15,8,2,514,523,10
15,13,3,524,1045,522
15,3,1,1046,1046,1
15,5,2,1047,1052,6
15,7,3,1053,1054,2
15,8,2,1055,1064,10
15,13,3,1065,1078,14
15,1,0,1079,1439,361
16,1,0,0,866,867
16,2,3,867,868,2
16,3,1,869,869,1
16,5,2,870,876,7
16,7,3,877,879,3
16,8,2,880,890,11
16,13,3,891,991,101
16,3,1,992,992,1
16,5,2,993,994,2
16,7,3,995,998,4
16,8,2,999,1006,8
16,13,3,1007,1017,11
16,1,0,1018,1439,422
